Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,External Link,Thumbnail,Description,Date,Type
The Black Health Matters Virtual Summit,the-black-health-matters-virtual-summit,5f0b4420d3ce596edff35a1c,5f0b44b36675354e16a10d9f,Sun Jul 12 2020 17:13:23 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:53:51 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://blackhealthmatterssummit.vfairs.com/?mc_cid=8a4821d993&mc_eid=0e6dc6131a,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4935e32edc9d8e8fae3b_black_health_matters.jpeg,"World-class experts on African American health. Discussion of 11 topics including Fitness/Welnnes, Diabetes, Public Policy, etc.",7/18/2020. Day 1 recorded and Day 2 starts at 12:00PM ET,Virtual Health Event
Black Women Birthing Justice,black-women-birthing-justice,5f0b4420d3ce596edff35a1c,5f0b44b399c861e3356d554a,Sun Jul 12 2020 17:13:23 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:36:29 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.blackwomenbirthingjustice.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4a1b898084c5ccad049e_black_women_birthing_justice.jpg,"Black Women Birthing Justice is a collective of African-American, African, Caribbean and multiracial women who are committed to transforming birthing experiences for Black women and transfolks",,"Maternal, Infant and Child Health"
Commonsense Childbirth,commonsense-childbirth,5f0b4420d3ce596edff35a1c,5f0b44b388788a1d948ff221,Sun Jul 12 2020 17:13:23 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:41:28 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://commonsensechildbirth.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4b4614ae48564ec37f1e_common%20sense%20childbirth.jpg,helping women and families have better birth experiences.,,"Maternal, Infant and Child Health"
Ancient Song Doula Services,ancient-song-doula-services,5f0b4420d3ce596edff35a1c,5f0b44b2b7312892445b8a5d,Sun Jul 12 2020 17:13:22 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:31:41 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.ancientsongdoulaservices.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b48fb8fbf67774d27d907_ancient_song_doula.jpeg,"At Ancient Song Doula Services we focus on the whole and not the parts. Through community, advocacy, reproductive/birth justice and education we aim to tackle some of the issues effecting communities of color.",,"Maternal, Infant and Child Health"
Mamatoto Village,mamatoto-village,5f0b4420d3ce596edff35a1c,5f0b44b2746ab010d12d6a26,Sun Jul 12 2020 17:13:22 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:51:38 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.mamatotovillage.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4da7849c2bee8fc8ae40_mamatoto_village.jpg,to creating career pathways for Women of Color in the field of public health and human services; and providing accessible perinatal support services,,"Maternal, Infant and Child Health"
The Black Maternal Health Caucus,the-black-maternal-health-caucus,5f0b4420d3ce596edff35a1c,5f0b44b19a1681bcca836440,Sun Jul 12 2020 17:13:21 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:54:03 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://blackmaternalhealthcaucus-underwood.house.gov/about,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b49f21293a250d25b7775_black_maternal_health_caucus.jpg,The Black Maternal Health Caucus is organized around the goals of elevating the Black maternal health crisis within Congress and advancing policy solutions to improve maternal health outcomes and end disparities.,,"Maternal, Infant and Child Health"
MomsRising,momsrising,5f0b4420d3ce596edff35a1c,5f0b44b13ebc9ef2d48f2f75,Sun Jul 12 2020 17:13:21 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:52:03 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.momsrising.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4dc159b2c25157967853_moms_rising.jpg,"MomsRising is a network of people just like you, united by the goal of building a more family-friendly America.",,"Maternal, Infant and Child Health"
Sista Midwife Productions,sista-midwife-productions,5f0b4420d3ce596edff35a1c,5f0b44b1da23cf7b69fd5f06,Sun Jul 12 2020 17:13:21 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:52:52 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.sistamidwife.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4df1d3ce5914d7f36699_sista_midwife_productions.jpg,"provides education, training and consultations for communities, birth workers and organizations that work with child bearing families",,"Maternal, Infant and Child Health"
The National Birth Equity Collaborative,the-national-birth-equity-collaborative,5f0b4420d3ce596edff35a1c,5f0b44b1eb57f2a69f6401a3,Sun Jul 12 2020 17:13:21 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:54:40 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://birthequity.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4e5e59b2c2519b967909_national_birth_equity_collaborative.jpeg,"NBEC creates solutions that optimize Black maternal and infant health through training, policy advocacy, research, and community-centered collaboration.",,"Maternal, Infant and Child Health"
Black Women for Wellness: Maternal and Infant Health Program,black-women-for-wellness-maternal-and-infant-health-program,5f0b4420d3ce596edff35a1c,5f0b44b1e1919720bb26ff34,Sun Jul 12 2020 17:13:21 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:36:42 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.bwwla.org/black-maternal-and-infant-health/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4a286632f7cef163cc43_black_women_for_wellness.jpg,utilizes policy and program development to call attention to the staggering rate of Black maternal and infant mortality in Los Angeles County.,,"Maternal, Infant and Child Health"
Modern Melanin Mom,modern-melanin-mom,5f0b4420d3ce596edff35a1c,5f0b44b0a7387f5b7dd8a3f6,Sun Jul 12 2020 17:13:20 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:51:56 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.modernmelaninmom.com/about-2,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4db9c085175ca3043c6f_modern_melanin_mom.png,Blog that provides a safe space for mothers to be unapologetically black and themselves,,"Maternal, Infant and Child Health"
Black Mamas Matter,black-mamas-matter,5f0b4420d3ce596edff35a1c,5f0b44b0067758c18a63aae6,Sun Jul 12 2020 17:13:20 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:35:39 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://blackmamasmatter.org/bmhw/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b49e8fda67087cfe7e89f_black_mamas_matter.jpg,"Vision: We envision a world where Black mamas have the rights, respect, and resources to thrive before, during, and after pregnancy.",,"Maternal, Infant and Child Health"
"Safeguarding
Maternal Health and
Rights in the United
States During the
COVID-19 Pandemic",safeguarding-maternal-health-and-rights-in-the-united-states-during-the-covid-19-pandemic,5f0b4420d3ce596edff35a1c,5f0b44b0e19197996326ff33,Sun Jul 12 2020 17:13:20 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:52:43 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://reproductiverights.org/sites/default/files/documents/Safeguarding%20Maternal%20Health%20and%20Rights%20in%20the%20United%20States%20During%20the%20COVID-19%20Pandemic.pdf,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4de9fda6706c62e7edb3_safeguarding.jpg,Insight about the maternal health outcomes. African American women are 3-4x more likely to experience maternal mortality than any other race.,,"Maternal, Infant and Child Health"
A Black Mamas Guide to Living and Thriving,a-black-mamas-guide-to-living-and-thriving,5f0b4420d3ce596edff35a1c,5f0b44b079f2f2fe4e834360,Sun Jul 12 2020 17:13:20 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:31:10 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.mamatotovillage.org/blackmamasguide.html,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b48db63d9d8f739a01244_Black%20mamas%20guide%20to%20living%20and%20thriving.jpg,Providing resources and services to foster healthy mamas who have healthy babies that create healthy communities,,"Maternal, Infant and Child Health"
Black Maternal Health Momnibus Act of 2020,black-maternal-health-momnibus-act-of-2020,5f0b4420d3ce596edff35a1c,5f0b44af99c861e1f46d5548,Sun Jul 12 2020 17:13:19 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:35:48 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.congress.gov/bill/116th-congress/senate-bill/3424/actions?r=1&s=1,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b49f21293a250d25b7775_black_maternal_health_caucus.jpg,Address racial and ethnic disparities and address the black maternal health crisis.,,"Maternal, Infant and Child Health"
The Shades of Blue Project,the-shades-of-blue-project,5f0b4420d3ce596edff35a1c,5f0b44afb328f3d41668efd2,Sun Jul 12 2020 17:13:19 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:54:58 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.shadesofblueproject.org/index.html,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4e70cd92d952c5175a8b_shades_of_blue.png,dedicated to breaking cultural barriers in maternal mental health by raising awareness and ensuring action is taken to break the stigma surrounding seeking treatment in the minority community when experiencing complications after childbirth.,,General Mental Health Resources
Black Trans Advocacy Coalition,black-trans-advocacy-coalition,5f0b4420d3ce596edff35a1c,5f0b44af489a57969080f563,Sun Jul 12 2020 17:13:19 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:36:18 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://blacktrans.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4a108fbf67752327da2f_black_trans_advocacy.jpg,he only national social justice organization led by black trans people to collectively address the inequities faced in the black transgender human experience,,General Mental Health Resources
Black Emotional and Mental Health,black-emotional-and-mental-health,5f0b4420d3ce596edff35a1c,5f0b44aff37a16fcaa015b24,Sun Jul 12 2020 17:13:19 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:32:14 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.beam.community/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b491c849c2b0f59c8a61f_black_emotional_and_mental.jpg,remove the barriers that Black people experience getting access to or staying connected with emotional health care and healing.,,General Mental Health Resources
Center for Black Women's Wellness,center-for-black-womens-wellness,5f0b4420d3ce596edff35a1c,5f0b44af59d835dd7a51fcde,Sun Jul 12 2020 17:13:19 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:37:35 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.cbww.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4a5d6b4272e2ccbc1e8a_center_for_black_womens_wellness.jpeg,"this legacy ensures that women and families will always have access to quality healthcare. We know physical, mental, emotional, and financial health is the foundation for full and productive lives where individuals can thrive and not merely survive.",,General Mental Health Resources
The Association of Black Psychologist,the-association-of-black-psychologist,5f0b4420d3ce596edff35a1c,5f0b44ae8b78aee45c3d162b,Sun Jul 12 2020 17:13:18 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:53:38 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.abpsi.org/index.html,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4e2127f3d33471b2323d_association_black_psychologists.jpeg,"mission and destiny as the liberation of the African Mind, empowerment of the African Character, and enlivenment and illumination of the African Spirit.",,General Mental Health Resources
Transparent Black Guy,transparent-black-guy,5f0b4420d3ce596edff35a1c,5f0b44ae2f29eb8853182252,Sun Jul 12 2020 17:13:18 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:55:22 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.instagram.com/transparentblackguy/?hl=en,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4e895dca80fb075fcacb_transparent_black_guy.jpeg,Black men need a platform where their healing is the priority,,General Mental Health Resources
The Loveland Foundation,the-loveland-foundation,5f0b4420d3ce596edff35a1c,5f0b44ae59d8353ad151fcdd,Sun Jul 12 2020 17:13:18 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:54:14 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://thelovelandfoundation.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4e44bf7bfc19f8ff4660_loveland_foundation.jpeg,"Committed to showing up for communities of color in unique and powerful ways, with a particular focus on Black women and girls.",,General Mental Health Resources
Brown Girl Self-Care,brown-girl-self-care,5f0b4420d3ce596edff35a1c,5f0b44ad8e6becd8c8e2abe1,Sun Jul 12 2020 17:13:17 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:37:26 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.browngirlselfcare.com/start-here-sis,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4a556aab90166d0fd7d2_brown_girl_self_Care.jpeg,Mission: Help Black women healing from trauma go from “every once in a while” self-care to EVERY DAY self-care,,General Mental Health Resources
Black Girl In Om,black-girl-in-om,5f0b4420d3ce596edff35a1c,5f0b44ad1daa2437c8f25dfe,Sun Jul 12 2020 17:13:17 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:32:22 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.instagram.com/blackgirlinom/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4924849c2b493dc8a621_black_girl_in_om.jpeg,"Vision: a world where womxn of color are liberated, empowered & seen.",,General Mental Health Resources
Therapy for Black Girls,therapy-for-black-girls,5f0b4420d3ce596edff35a1c,5f0b44ada6907204f1bd3d13,Sun Jul 12 2020 17:13:17 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:55:13 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://therapyforblackgirls.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4e80cd92d95d47175abf_thereapy_for_black_girls.jpg,online space dedicated to encouraging the mental wellness of Black women and girls.,,General Mental Health Resources
the siwe project,the-siwe-project,5f0b4420d3ce596edff35a1c,5f0b44ad0677582f3c63aae5,Sun Jul 12 2020 17:13:17 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:55:07 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.instagram.com/thesiweproject/?hl=en,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4e7ab2175967a693161e_siwe_project.jpeg,dedicated to promoting mental health awareness in the global Black Community. Help reduce stigma by telling your story,,General Mental Health Resources
Black Mental Health Alliance,black-mental-health-alliance,5f0b4420d3ce596edff35a1c,5f0b44acb1f67fe7369a3b61,Sun Jul 12 2020 17:13:16 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:35:58 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://blackmentalhealth.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b49fd6b42726ea2bc1dad_black_mental_health_alliance.jpg,"Mission: To develop, promote and sponsor trusted culturally-relevant educational forums, trainings and referral services that support the health and well-being of Black people and other vulnerable communities.",,General Mental Health Resources
Black Health Matters,black-health-matters,5f0b4420d3ce596edff35a1c,5f0b44ac9a1681813083643f,Sun Jul 12 2020 17:13:16 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:32:38 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://blackhealthmatters.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4935e32edc9d8e8fae3b_black_health_matters.jpeg,Everything health and the black community,,General Mental Health Resources
